MO	AR,IA,IL,KS,KY,NE,OK,TN
TN	AL,AR,GA,KY,MO,MS,NC,VA
CO	FP,KS,NE,NM,OK,UT,WY
KY	IL,IN,MO,OH,VA,TN,WV
AR	LA,MO,MS,OK,TN,TX
IA	IL,MN,MO,NE,SD,WI
ID	MT,NV,OR,UT,WA,WY
NE	CO,IA,KS,MO,SD,WY
NM	AZ,CO,FP,OK,TX,UT
OK	AR,CO,KS,MO,NM,TX
PA	DE,MD,NJ,NY,OH,WV
SD	IA,MN,MT,ND,NE,WY
UT	AZ,CO,FP,ID,NV,WY
VA	DC,KY,MD,NC,TN,WV
WY	CO,ID,MT,NE,SD,UT
AZ	CA,NV,UT,NM,FP
GA	AL,FL,NC,SC,TN
IL	IA,IN,KY,MO,WI
IN	IA,KY,MO,OH,WI
MA	CN,NY,NH,RI,VT
MD	DC,DE,PA,VA,WV
NV	OR,ID,UT,AZ,CA
NY	MA,NJ,PA,RI,VT
OH	IN,KY,MI,PA,WV
WV	KY,MD,OH,PA,VA
AL	FL,GA,MS,TN
FP	AZ,CO,NM,UT
KS	CO,MO,NE,OK
MN	IA,ND,SD,WI
MS	AL,AR,LA,TN
MT	ID,ND,SD,WY
OR	CA,ID,NV,WA
TX	AR,LA,NM,OK
WI	IA,IL,MI,MN
CA	AZ,NV,OR
CN	MA,NY,RI
DE	MD,NJ,PA
LA	AR,MS,TX
MI	IN,OH,WI
NC	SC,TN,VA
ND	MN,MT,SD
NJ	DE,NY,PA
VT	MA,NH,NY
DC	MD,VA
FL	AL,GA
NH	VT,ME	
RI	CN,MA
SC	GA,NC
WA	ID,OR
ME	NH
AK	
HI	
